candidate_contributions_less_repayments,candidate_id,candidate_last_name,candidate_name,candidate_party_affiliation,cash_on_hand_end,committee_designation,committee_id,committee_name,committee_type,debts_owed_by_committee,disbursements_less_offsets,election_year,exempt_legal_accounting_disbursement,federal_funds,fundraising_disbursements,individual_contributions_less_refunds,net_receipts,offsets_to_operating_expenditures,operating_expenditures,other_disbursements,pac_contributions_less_refunds,party_contributions_less_refunds,repayments_loans_made_by_candidate,repayments_other_loans,rounded_net_receipts,total_contribution_refunds,total_loan_repayments_made,transfers_from_affiliated_committees,transfers_to_other_authorized_committees
77.76,P00009290,Gillibrand,"GILLIBRAND, KIRSTEN ",DEM,84388.65,P,C00694018,GILLIBRAND 2020,P,0.0,14366892.89,2020,0.0,0.0,0.0,6199051.1,15823699.43,50961.61,14416375.5,1479.0,6925.0,0.0,0.0,0.0,15.8,79738.53,0.0,9600000.0,1372417.89
12473002.99,P00016741,West,"WEST, KANYE",NNE,1328976.72,P,C00751701,KANYE 2020,P,250000.0,13158721.93,2020,0.0,0.0,0.0,2014695.66,14487698.65,1271.09,13159993.02,0.0,0.0,0.0,0.0,0.0,14.5,50020.0,0.0,0.0,0.0
75.0,P00009183,Gabbard,"GABBARD, TULSI",DEM,171107.85,P,C00693713,TULSI NOW,P,0.0,13719668.86,2020,0.0,0.0,0.0,11915646.13,14416776.71,315451.81,14017214.46,17906.21,1000.0,0.0,0.0,0.0,14.4,528672.62,0.0,2500000.0,526000.0
11334076.55,P00006213,Delaney,"DELANEY, JOHN K.",DEM,12026.58,P,C00508416,FRIENDS OF JOHN DELANEY,P,1493250.0,13780067.4,2020,0.0,0.0,0.0,2430992.47,13798069.02,292136.54,14008718.4,63485.54,33000.0,0.0,15000000.0,0.0,13.8,93850.89,15000000.0,0.0,60000.0
0.0,P40003576,Paul,"PAUL, RAND",REP,6492.92,P,C00575449,"RAND PAUL FOR PRESIDENT, INC.",P,271751.01,11864431.35,2016,0.0,0.0,0.0,9965769.23,12138924.07,37107.45,11899650.5,1888.3,27863.55,0.0,0.0,0.0,12.1,282960.59,0.0,1796062.08,267999.8
0.0,P60007242,Fiorina,"FIORINA, CARLY",REP,799587.44,P,C00577312,CARLY FOR PRESIDENT,P,0.0,11261920.53,2016,0.0,0.0,0.0,11912402.69,12061507.97,15954.25,10947874.78,330000.0,19925.0,0.0,0.0,0.0,12.1,134435.19,0.0,0.0,0.0
0.0,P80000722,Biden,"BIDEN, JOSEPH R JR",DEM,40019.12,P,C00431916,BIDEN FOR PRESIDENT INC,P,0.0,11247821.62,2008,0.0,2031196.83,0.0,7765349.15,11932088.54,470686.63,11718508.25,0.0,215745.0,2300.0,0.0,1293613.9,11.9,576264.88,1293613.9,1905236.71,644247.8
11518882.73,P40011868,Binkley,"BINKLEY, RYAN",REP,27225.67,P,C00836544,BINKLEY FOR PRESIDENT 2024,P,11074308.0,11839807.0,2024,0.0,0.0,0.0,348135.17,11867032.67,0.0,11839807.0,0.0,14.41,0.0,0.0,0.0,11.9,16808.0,0.0,0.0,0.0
0.0,P20002671,Johnson,"JOHNSON, GARY",LIB,259590.91,P,C00605568,GARY JOHNSON 2016,P,0.0,11611727.26,2016,0.0,0.0,0.0,11143927.47,11639825.07,14000.0,11625727.26,0.0,5000.0,239.0,0.0,0.0,11.6,16435.64,0.0,490658.6,0.0
40000.0,P20003984,Stein,"STEIN, JILL",GRE,105132.34,P,C00581199,JILL STEIN FOR PRESIDENT,P,87740.0,10348696.5,2016,0.0,456035.39,15156.06,9980093.45,10476128.84,716735.18,11050025.62,250.0,0.0,0.0,0.0,0.0,10.5,2465.0,0.0,0.0,22300.0
0.0,P20002978,Bachmann,"BACHMANN, MICHELE",REP,245662.74,P,C00497511,BACHMANN FOR PRESIDENT,P,1049567.39,9945431.61,2012,0.0,0.0,0.0,8237360.67,10270504.53,100596.65,10041028.26,5000.0,14060.0,0.0,0.0,0.0,10.3,14288.0,0.0,2000000.0,2214010.0
0.0,P00009092,Castro,"CASTRO, JULIÁN",DEM,561653.62,P,C00693044,JULIÁN FOR THE FUTURE,P,0.0,9541339.81,2020,0.0,0.0,0.0,10090097.89,10106543.43,17380.52,9524941.08,33779.25,16363.11,0.0,0.0,0.0,10.1,178096.23,0.0,82.43,3550.0
0.0,P40012155,Scott,"SCOTT, TIMOTHY E.",REP,13330124.35,P,C00540302,TIM SCOTT FOR AMERICA,P,927827.23,18713732.49,2024,0.0,0.0,0.0,9020530.46,10053272.53,194216.2,18904876.19,3072.5,96900.0,0.0,0.0,0.0,10.1,206955.0,0.0,734234.96,0.0
